session_code,segment,round,group,label,contribution,made_promise,genuine_guilt,false_promise,blame_shifting,manipulation,self_justification,deflection_collective,duping_delight,performative_frustration,no_guilt,gpt_reasoning,gpt_raw_response,messages
sa7mprty,supergame1,3,3,C,25.0,False,False,False,False,False,False,False,False,False,True,"The messages are neutral/strategic discussion about maximizing payoffs and uncertainty about the number of rounds. There is no apology, false promise, blame, manipulation, justification, collective deflection, delight in deception, or performative frustration. The stated actual contribution was 25/25, so the messages do not reveal liar-type deceptive behavior.","{""categories"": [""no_guilt""], ""reasoning"": ""The messages are neutral/strategic discussion about maximizing payoffs and uncertainty about the number of rounds. There is no apology, false promise, blame, manipulation, justification, collective deflection, delight in deception, or performative frustration. The stated actual contribution was 25/25, so the messages do not reveal liar-type deceptive behavior.""}","[""good job guys."", ""can you think of any other number to maximize"", ""but we dont know how many round it will last so ""]"
sa7mprty,supergame1,3,3,G,15.0,False,False,False,False,False,True,False,False,False,False,"The player does not make a clear false promise here; instead, they frame the decision probabilistically ('It's 80% chance it'll continue'), which functions as a strategic rationalization for contributing 15 rather than fully cooperating.","{""categories"": [""self_justification""], ""reasoning"": ""The player does not make a clear false promise here; instead, they frame the decision probabilistically ('It's 80% chance it'll continue'), which functions as a strategic rationalization for contributing 15 rather than fully cooperating.""}","[""15 maybe?"", ""It's 80% chance it'll continue""]"
sa7mprty,supergame1,3,3,L,25.0,False,False,False,False,False,False,True,False,False,False,"The messages use collective framing like 'we each,' 'we can,' and 'everyone contributes' to emphasize group action and shared outcomes. There is no apology, deception, blame, manipulation, or frustration in the text.","{""categories"": [""deflection_collective""], ""reasoning"": ""The messages use collective framing like 'we each,' 'we can,' and 'everyone contributes' to emphasize group action and shared outcomes. There is no apology, deception, blame, manipulation, or frustration in the text.""}","[""would we not make more if we each put in 25? 40 ecu each?"", ""we can keep doing the same but 25 actually makes the most money"", ""as long as everyone contributes we would all maximize""]"
sa7mprty,supergame1,3,3,Q,25.0,True,False,False,False,False,False,True,False,False,False,"The messages use group-oriented framing about everyone contributing 25 for the shared outcome ('25 would be better' and '40 each') without apology, blame, manipulation, or deceptive promise-breaking in the chat itself.","{""categories"": [""deflection_collective""], ""reasoning"": ""The messages use group-oriented framing about everyone contributing 25 for the shared outcome ('25 would be better' and '40 each') without apology, blame, manipulation, or deceptive promise-breaking in the chat itself.""}","[""yesh 25 would be better i feel thats 40 each "", ""yeah it does ""]"
sa7mprty,supergame4,5,4,R,25.0,True,False,False,True,True,False,True,False,False,False,"The player proposes and directs a coordinated zero-contribution scheme ('we all take a turn with 0', 'N or P go 0'), which is manipulation. They also engage in interpersonal blame dynamics ('Don't place blame', 'You started it'), which fits blame_shifting. The repeated 'we all' framing diffuses responsibility through collective language, fitting deflection_collective. There is no false_promise here because they actually contributed 25.","{""categories"": [""manipulation"", ""blame_shifting"", ""deflection_collective""], ""reasoning"": ""The player proposes and directs a coordinated zero-contribution scheme ('we all take a turn with 0', 'N or P go 0'), which is manipulation. They also engage in interpersonal blame dynamics ('Don't place blame', 'You started it'), which fits blame_shifting. The repeated 'we all' framing diffuses responsibility through collective language, fitting deflection_collective. There is no false_promise here because they actually contributed 25.""}","[""Yeah q was too quiet"", ""I say we all take a turn with 0"", ""I mean why not"", ""Don't place blame"", ""You started it"", ""N or P go 0""]"
sa7mprty,supergame4,6,4,N,25.0,False,False,False,False,False,False,False,False,False,True,"The message is just a brief accusation ('greedy fr') with no deception by this player, since they actually contributed the full 25. It does not show guilt, false promise, manipulation, or self-justification.","{""categories"": [""no_guilt""], ""reasoning"": ""The message is just a brief accusation ('greedy fr') with no deception by this player, since they actually contributed the full 25. It does not show guilt, false promise, manipulation, or self-justification.""}","[""greedy fr""]"
sa7mprty,supergame4,6,4,R,25.0,True,False,False,False,True,False,True,False,False,False,"The player pressures others with a threat-like statement ('you're gonna piss me off') and proposes a coordinated scheme directing specific players' contributions, which is manipulation. The phrasing 'the rest of us will go 25' uses collective framing, so deflection_collective also applies. No false_promise applies because they actually contributed 25.","{""categories"": [""manipulation"", ""deflection_collective""], ""reasoning"": ""The player pressures others with a threat-like statement ('you're gonna piss me off') and proposes a coordinated scheme directing specific players' contributions, which is manipulation. The phrasing 'the rest of us will go 25' uses collective framing, so deflection_collective also applies. No false_promise applies because they actually contributed 25.""}","[""Q you're gonna piss me off"", ""P you go 0 now and the rest of us (Q!!!!!!!!!!) will go 25""]"
sa7mprty,supergame4,7,4,N,25.0,False,False,False,True,False,False,False,False,False,False,"The message points to another player’s past defections ('Q has gone 0 multiple times'), shifting attention/blame onto someone else. It does not contain a promise, apology, manipulation, or guilt.","{""categories"": [""blame_shifting""], ""reasoning"": ""The message points to another player’s past defections ('Q has gone 0 multiple times'), shifting attention/blame onto someone else. It does not contain a promise, apology, manipulation, or guilt.""}","[""but Q has gone 0 multiple times""]"
sa7mprty,supergame4,7,4,R,25.0,False,False,False,True,True,False,False,False,False,False,"The speaker proposes a coordinated rotation scheme ('start the cycle over again and Q can go 0') and tries to direct group behavior, which is manipulation. They also single out Q as the likely defector ('be real q will go 0'), which is blame_shifting. No false_promise applies because they actually contributed 25.","{""categories"": [""manipulation"", ""blame_shifting""], ""reasoning"": ""The speaker proposes a coordinated rotation scheme ('start the cycle over again and Q can go 0') and tries to direct group behavior, which is manipulation. They also single out Q as the likely defector ('be real q will go 0'), which is blame_shifting. No false_promise applies because they actually contributed 25.""}","[""Thank you Q"", ""Now we can start the cycle over again and Q can go 0, or we can all go in"", ""I was about to say be real q will go 0""]"
sa7mprty,supergame5,3,2,R,25.0,True,False,False,False,True,False,True,False,False,True,"The player proposes and advocates a coordinated take-turns-zero scheme ('take turns all going 0'), which is manipulation, and frames it in collective terms ('we', 'all'), which is deflection_collective. However, there is no deception here because they actually contributed 25 as stated, so no false_promise or guilt-related category applies.","{""categories"": [""manipulation"", ""deflection_collective"", ""no_guilt""], ""reasoning"": ""The player proposes and advocates a coordinated take-turns-zero scheme ('take turns all going 0'), which is manipulation, and frames it in collective terms ('we', 'all'), which is deflection_collective. However, there is no deception here because they actually contributed 25 as stated, so no false_promise or guilt-related category applies.""}","[""HEAR ME OUT"", ""The earnings will add up more if we take turns all going 0"", ""I promise we did it last time and it was way better"", ""It's just you play with the odds of the segment ending and someone missing out"", ""I'll go 25""]"
